Persquare_price,Area,Facing_East,Facing_North,Facing_South,Facing_West,Decoration_Level,Floor_Level
38544.0,56.3,0,0,1,0,1,2
33667.0,55.1,0,0,1,0,3,1
91429.0,70.0,0,0,1,0,1,3
102752.0,98.49,0,0,1,0,1,4
98847.0,60.7,0,0,1,0,3,4
88422.0,130.85,1,0,0,0,3,2
89034.0,130.85,1,0,0,0,2,3
88525.0,61.0,0,0,1,0,1,4
95259.0,113.9,0,0,0,1,0,5
92620.0,54.2,0,0,1,0,1,3
96145.0,60.7,0,0,1,0,3,3
94333.0,135.69,0,0,1,0,3,4
86351.0,107.7,0,0,1,0,1,2
90431.0,113.9,0,0,0,1,1,4
97972.0,49.3,0,0,1,0,2,1
87638.0,72.8,0,0,1,0,1,4
89000.0,40.0,0,0,1,0,3,4
83871.0,77.5,0,0,1,0,2,4
84628.0,61.8,0,0,1,0,2,4
76143.0,70.0,0,0,1,0,2,4
73985.0,66.5,0,0,1,0,2,3
70719.0,54.3,0,0,1,0,1,2
67425.0,52.8,0,0,1,0,1,3
62500.0,72.0,1,0,0,0,3,5
58303.0,54.2,0,0,1,0,2,1
55711.0,107.7,0,0,1,0,1,2
50000.0,70.0,0,0,1,0,1,2
53381.0,113.9,0,0,0,1,1,2
49676.0,130.85,1,0,0,0,2,5
57444.0,61.8,0,0,1,0,3,2
48864.0,52.8,0,0,1,0,1,2
50417.0,72.0,1,0,0,0,2,2
53291.0,77.5,0,0,1,0,2,3
52925.0,107.7,0,0,1,0,2,2
49089.0,71.3,1,0,0,0,3,2
54852.0,77.3,0,0,0,1,3,2
57084.0,72.0,1,0,0,0,3,4
54357.0,52.8,0,0,1,0,3,5
64662.0,39.9,0,0,1,0,3,3
55454.0,76.1,0,0,1,0,3,3
59148.0,39.9,0,0,1,0,3,4
57068.0,113.9,0,0,1,0,3,3
49633.0,151.11,1,0,0,0,3,3
48077.0,72.8,0,0,1,0,3,2
54366.0,60.7,0,0,1,0,3,4
55745.0,61.8,0,0,1,0,3,3
51511.0,72.8,0,0,1,0,3,4
42072.0,61.8,0,0,1,0,3,3
100000.0,54.5,1,0,0,0,1,1
90218.0,36.8,0,0,1,0,3,5
98012.0,50.3,0,0,1,0,1,3
101200.0,50.0,0,0,1,0,2,5
95489.0,66.5,0,0,1,0,2,1
97383.0,57.3,0,0,1,0,1,3
89566.0,57.5,0,0,1,0,1,5
91229.0,57.0,0,0,1,0,1,3
92095.0,50.6,0,0,1,0,2,5
91579.0,57.0,1,0,0,0,2,5
89912.0,56.5,1,0,0,0,1,3
90240.0,54.3,0,0,1,0,1,3
77668.0,50.6,0,0,1,0,1,3
77260.0,68.6,0,0,1,0,0,3
71824.0,54.3,0,0,1,0,3,3
70334.0,50.9,0,0,1,0,2,5
68071.0,57.0,0,0,1,0,1,5
67257.0,56.5,0,0,1,0,1,3
61253.0,50.61,1,0,0,0,1,3
63717.0,56.5,0,0,1,0,1,5
63851.0,50.9,0,0,1,0,2,5
70379.0,47.6,0,0,1,0,1,1
57012.0,54.2,1,0,0,0,1,3
66087.0,57.5,0,0,1,0,3,3
55403.0,50.9,0,0,1,0,1,5
55361.0,56.9,0,0,1,0,2,5
63886.0,50.09,0,0,1,0,1,3
65107.0,56.83,0,0,1,0,1,3
56692.0,53.8,0,0,1,0,1,3
56228.0,54.6,0,0,1,0,2,3
56064.0,50.3,0,0,1,0,1,3
60870.0,57.5,0,0,1,0,1,3
59002.0,66.1,0,0,1,0,1,1
49417.0,68.6,1,0,0,0,3,3
61476.0,36.6,0,0,1,0,1,3
54622.0,47.6,0,0,1,0,1,1
57997.0,56.9,0,0,1,0,1,3
51832.0,54.6,0,0,1,0,2,3
63662.0,36.6,0,0,1,0,1,3
57799.0,54.5,0,0,1,0,3,3
45187.0,50.9,1,0,0,0,2,3
49175.0,54.5,0,0,1,0,1,3
41464.0,65.6,1,0,0,0,1,1
48772.0,57.0,0,0,1,0,1,5
49443.0,53.8,0,0,1,0,1,3
57421.0,56.6,0,0,1,0,2,5
50684.0,68.07,0,0,1,0,1,5
55750.0,57.4,0,0,1,0,1,3
50000.0,50.6,0,0,1,0,1,3
61476.0,36.6,0,0,1,0,1,3
49018.0,50.9,0,0,1,0,1,3
63790.0,47.03,0,0,1,0,1,1
64457.0,54.3,0,0,1,0,1,3
57523.0,56.5,0,0,1,0,3,5
60356.0,50.7,0,0,1,0,1,3
61083.0,57.3,0,0,1,0,2,3
64722.0,68.6,0,0,1,0,3,3
64221.0,54.5,0,0,1,0,2,3
61644.0,36.5,0,0,1,0,3,3
64695.0,50.7,0,0,1,0,3,5
54456.0,50.5,0,0,1,0,3,5
61179.0,57.7,0,0,1,0,3,5
61847.0,57.4,0,1,0,0,3,3
50875.0,68.6,0,0,1,0,3,5
57906.0,50.6,0,0,1,0,3,5
57844.0,51.0,0,0,1,0,3,5
58408.0,56.5,0,0,1,0,3,3
55067.0,68.1,0,0,1,0,3,5
60118.0,50.9,0,0,1,0,3,3
58408.0,56.5,0,1,0,0,3,3
61690.0,50.9,0,0,1,0,3,3
57592.0,57.3,0,0,1,0,3,3
